"","1","2","3","4","5"
"SNORD116-1",5.54009628429039,8.37464067839527,8.97426731173692,9.0059498133739,8.66550769831745
"SNORD116-2",3.72039758650791,6.77463893609869,7.54377883632982,7.29885875452475,6.44332956159677
"SNORD116-6",2.88253064277137,7.419796703143,8.24872698949003,8.45397661566509,7.73223473622896
"SNORD116-11",3.62812087932845,6.00441280654869,6.06979159649993,6.53629918400766,6.00441280654869
"SNORD116-12",2.59117394531377,3.91083021785225,4.93611139955082,4.92652068345286,3.5577844322739
"SNORD116-13",2.87687026517719,6.62004878993141,7.49126509164795,7.71183869418537,6.65184911254327
"SNORD116-14",7.82036743502891,11.4898796151265,12.0773916746344,11.8869905802211,11.2998625873835
"SNORD116-15",8.9108442998137,11.7462524100173,12.31399656441,12.3287425276868,11.9594907007728
"SNORD116-16",1.51921213184504,3.37983442995881,4.10579413674079,4.36763570890614,3.37983442995881
"SNORD116-18",2.59081098974656,5.92575012217296,6.90633495875367,6.95197167258113,5.44199319824671
"SNORD116-22",2.06346399459186,7.01462573722713,8.02188501841235,7.77168340224811,6.82474553549192
"SNORD116-23",3.52576868792332,6.60302094337986,7.14377603379755,7.26862207371024,7.16526382898262
"SNORD116-24",7.23689935881218,9.5628991992982,10.154053604728,10.2590439197477,9.47354827838145
"SNORD116-25",3.62488250479483,6.89241231032464,7.18130557414004,7.44125154988475,6.3104172311308
"SNORD116-26",3.51082066066063,6.59585156949606,7.35135900396435,7.29770227060305,6.49232684653095
"SNORD116-27",3.1070862672786,6.53012402544228,7.02867760063783,7.15842926834041,6.14559712772699
"SNORD116-28",3.83382849978788,7.21041793554598,7.68085920589961,7.49888879778231,6.33821665687768
"SNORD116-29",3.41966922832759,7.00445710007174,7.94712906811449,8.08576371842182,6.44190441459286
"GNPDA1",7.52845842411794,8.5818637939352,8.64412342411259,8.50002072438205,8.1321170130041
"CDH3",4.80764250524062,8.93249841390098,8.8026808153696,8.8026808153696,8.81366880982437
"LINC01165",3.56778666768012,3.86471109311058,4.33434302283044,4.35488690236567,5.09575826189924
"ZNF730",4.13647367325152,7.71268114959833,8.66283184277639,8.61041781425981,7.62862106015716
"ZNF737",5.65333965091738,7.81219672121336,7.92006833721164,7.73285199536819,7.64167424005057
"ZNF717",6.85024039016258,7.45611664802904,7.7269934869899,7.96229485192948,6.47050736770744
"SHISAL2B",3.25937525456554,5.77854058520486,6.2347743233477,6.41947245275905,5.70780970154392
"CD24",2.99848447321052,11.3053185317907,11.6725862069105,11.6948857344801,10.7798755582721
"PDCD6IP",9.56956662272797,8.79765634333878,8.95443489101013,8.95443489101013,8.19948522146668
"SCARNA9L",5.48671691523963,7.07771961368949,8.35823428833152,8.18316182640475,6.97337468719315
"BCL2L11",4.6111422487289,5.53593032981096,5.83780809508582,5.53593032981096,5.46636626870184
"TROAP",5.5874551969461,6.86289838957801,6.71419135449269,6.71419135449269,6.91092510381514
"PIGK",8.3279041655016,6.47770449861379,6.67985355149348,6.67985355149348,5.55825725474062
"ERVMER34-1",4.33901878714606,6.90069284019906,6.7654824749523,6.77494341559133,6.7654824749523
"ZNF587B",8.09372622599875,10.3963373386777,10.4525666134859,10.754414689375,9.6802807012441
"CHAF1A",6.77038713146872,9.09654020937129,8.98298233546781,8.98298233546781,9.20450812940231
"PARP2",6.94185247695527,8.10807531182833,8.41204096547366,8.44623992524911,7.85498824841465
"TOM1L1",4.15596379267924,6.72669640509853,6.91373484371221,6.70188029566088,6.14961612715277
"LOC100419773",4.27676090060958,4.73315650181552,4.90047108892555,5.41396762032816,3.77773102475775
"GVQW3",5.31027206137976,6.43854263557842,6.69244555521499,6.40609865410057,6.06374201788286
"LINC00665",3.51584331877758,6.37352192066058,6.19459770947813,6.6824840481724,6.17192038074398
"PWAR6",2.78186104972334,7.50438099163679,7.83679894309399,8.0011044676783,6.81193557527476
"ERVK13-1",6.36961812147774,4.85220042825328,5.25281836093595,5.14291927953126,5.50983004761913
"SMC4",8.1488008860748,9.0936376790235,9.47670308506105,9.43298385028383,8.81118239557158
"GJC1",7.9436638521983,10.0160619625947,9.89188967919624,9.93105319696362,9.94911740173406
"SEPT5-GP1BB",6.94481228414001,7.77930742321759,7.51409114918726,7.85306627119288,8.43019401506894
"ZNF625-ZNF20",7.42085618359796,9.26414994667177,8.83435963913168,8.9709573272241,8.36210780956437
"AP1M2",4.60946247203043,8.46271798260699,8.5113099579683,8.42312430379051,8.54050160389109
"UBA2",8.77047614223756,9.74041225068572,9.9354539399643,9.8052898138596,9.68801179310867
"RWDD2B",8.06465044013615,6.6808314905471,6.6808314905471,6.6808314905471,6.00416604705838
"CDH9",3.34148477412936,4.39826945013037,4.77598027001834,4.32960045186191,3.76073334873717
"PTPRU",5.77915305536152,6.6940949129504,6.54115673924057,6.54115673924057,7.22232215875971
"CDH10",6.07958742601309,3.2712759481356,3.9615531154228,3.85170398871643,3.60644613287932
"EDIL3",9.70546484385691,9.10218987594726,9.43441985259087,9.27797558646776,8.55223683677254
"HHLA1",4.34784077837651,6.15923270254216,6.08442766300959,6.67748116208908,6.08442766300959
"CDH11",10.7826462570183,5.88932568329137,6.73650560875779,6.73650560875779,6.35025117591514
"KIF20A",6.66876227430758,7.98910813845838,8.353453993748,7.98910813845838,7.86698880948836
"LRPPRC",9.26992103113652,10.8284768315203,10.9987866791815,10.948802353207,10.4700447165398
"TRAP1",8.2115052322495,9.65398803975834,9.6497883559128,9.51646812646436,10.1118144532835
"ADGRG2",3.47371377281975,7.35807163911855,7.38599975070686,7.05016038621049,6.56765125800922
